Strings	4
Chord	G	C	E	A
C	0	0	0	3
C#	1	1	1	4
D	2	2	2	0
D#	0	3	3	1
E	4	4	4	2
F	2	0	1	0
F#	3	1	2	1
G	0	2	3	2
G#	5	3	4	3
A	2	1	0	0
A#	3	2	1	1
B	4	3	2	2
Cm	0	3	3	3
C#m	5	3	3	3
Dm	2	2	1	0
D#m	3	3	2	1
Em	0	4	3	2
Fm	1	0	1	3
F#m	2	1	2	0
Gm	0	2	3	1
G#m	4	3	0	2
Am	2	0	0	0
A#m	2	0	0	0
Bm	4	2	2	2
C7	0	0	0	1
D7	2	0	2	0
E7	0	2	0	2
F7	2	3	1	0
G7	0	2	1	2
A7	0	1	0	0
B7	2	3	2	2
Cmaj7	0	0	0	2
Dmaj7	2	2	2	4
Emaj7	1	3	0	2
Fmaj7	2	4	1	3
Gmaj7	0	2	2	2
Amaj7	1	1	0	0
Bmaj7	3	3	2	2
Cm7	3	3	3	3
Dm7	2	2	1	3
Em7	0	2	0	2
Fm7	1	3	1	3
Gm7	0	2	1	1
Am7	0	4	3	3
Bm7	2	2	2	2
